H,Hydrogen,1,"colorless gas","diatomic nonmetal","" 
He,Helium,2,"colorless gas, exhibiting a red-orange glow when placed in a high-voltage electric field","noble gas","" 
Li,Lithium,3,"silvery-white","alkali metal","" 
Be,Beryllium,4,"white-gray metallic","alkaline earth metal","" 
B,Boron,5,"black-brown","metalloid","" 
C,Carbon,6,"None","polyatomic nonmetal","" 
N,Nitrogen,7,"colorless gas, liquid or solid","diatomic nonmetal","" 
O,Oxygen,8,"None","diatomic nonmetal","" 
F,Fluorine,9,"None","diatomic nonmetal","" 
Ne,Neon,10,"colorless gas exhibiting an orange-red glow when placed in a high voltage electric field","noble gas","" 
Na,Sodium,11,"silvery white metallic","alkali metal","" 
Mg,Magnesium,12,"shiny grey solid","alkaline earth metal","" 
Al,Aluminium,13,"silvery gray metallic","post-transition metal","" 
Si,Silicon,14,"crystalline, reflective with bluish-tinged faces","metalloid","" 
P,Phosphorus,15,"colourless, waxy white, yellow, scarlet, red, violet, black","polyatomic nonmetal","" 
S,Sulfur,16,"lemon yellow sintered microcrystals","polyatomic nonmetal","" 
Cl,Chlorine,17,"pale yellow-green gas","diatomic nonmetal","" 
Ar,Argon,18,"colorless gas exhibiting a lilac/violet glow when placed in a high voltage electric field","noble gas","" 
K,Potassium,19,"silvery gray","alkali metal","" 
Ca,Calcium,20,"None","alkaline earth metal","" 
Sc,Scandium,21,"silvery white","transition metal","" 
Ti,Titanium,22,"silvery grey-white metallic","transition metal","" 
V,Vanadium,23,"blue-silver-grey metal","transition metal","" 
Cr,Chromium,24,"silvery metallic","transition metal","" 
Mn,Manganese,25,"silvery metallic","transition metal","" 
Fe,Iron,26,"lustrous metallic with a grayish tinge","transition metal","" 
Co,Cobalt,27,"hard lustrous gray metal","transition metal","" 
Ni,Nickel,28,"lustrous, metallic, and silver with a gold tinge","transition metal","" 
Cu,Copper,29,"red-orange metallic luster","transition metal","" 
Zn,Zinc,30,"silver-gray","transition metal","" 
Ga,Gallium,31,"silver-white","post-transition metal","" 
Ge,Germanium,32,"grayish-white","metalloid","" 
As,Arsenic,33,"metallic grey","metalloid","" 
Se,Selenium,34,"black, red, and gray (not pictured) allotropes","polyatomic nonmetal","" 
Br,Bromine,35,"None","diatomic nonmetal","" 
Kr,Krypton,36,"colorless gas, exhibiting a whitish glow in a high electric field","noble gas","" 
Rb,Rubidium,37,"grey white","alkali metal","" 
Sr,Strontium,38,"None","alkaline earth metal","" 
Y,Yttrium,39,"silvery white","transition metal","" 
Zr,Zirconium,40,"silvery white","transition metal","" 
Nb,Niobium,41,"gray metallic, bluish when oxidized","transition metal","" 
Mo,Molybdenum,42,"gray metallic","transition metal","" 
Tc,Technetium,43,"shiny gray metal","transition metal","" 
Ru,Ruthenium,44,"silvery white metallic","transition metal","" 
Rh,Rhodium,45,"silvery white metallic","transition metal","" 
Pd,Palladium,46,"silvery white","transition metal","" 
Ag,Silver,47,"lustrous white metal","transition metal","" 
Cd,Cadmium,48,"silvery bluish-gray metallic","transition metal","" 
In,Indium,49,"silvery lustrous gray","post-transition metal","" 
